lat,lon,year,month,day,hour,avg_volume
40.839873,-73.852724,2024,02,1,0,4602.022949
40.839873,-73.852724,2024,03,1,0,4437.421875
40.839873,-73.852724,2024,04,1,0,2215.084229
40.839873,-73.852724,2025,05,1,0,6176.221680
40.669273,-73.863553,2024,06,1,0,711.959045
40.669273,-73.863553,2024,07,1,0,0.000000
40.669273,-73.863553,2024,08,1,0,7739.953613
40.669273,-73.863553,2024,09,1,0,844.128113
40.669273,-73.863553,2024,10,1,0,0.000000
40.669273,-73.863553,2024,11,1,0,6235.916992
40.669273,-73.863553,2024,12,1,0,679.372009
40.669273,-73.863553,2025,01,1,0,0.000000
40.669273,-73.863553,2024,02,1,0,3827.916992
40.669273,-73.863553,2024,03,1,0,3834.311035
40.669273,-73.863553,2024,04,1,0,1281.769043
40.669273,-73.863553,2025,05,1,0,5401.147949
40.887791,-73.823752,2024,06,1,0,1439.068359
40.887791,-73.823752,2024,07,1,0,302.258392
40.887791,-73.823752,2024,08,1,0,8107.799316
40.887791,-73.823752,2024,09,1,0,1349.458374
40.887791,-73.823752,2024,10,1,0,95.125427
40.887791,-73.823752,2024,11,1,0,6578.610840
40.887791,-73.823752,2024,12,1,0,1310.960327
40.887791,-73.823752,2025,01,1,0,0.000000
40.887791,-73.823752,2024,02,1,0,4531.441895
40.887791,-73.823752,2024,03,1,0,4506.195312
40.887791,-73.823752,2024,04,1,0,2185.346191
40.887791,-73.823752,2025,05,1,0,6229.315430
40.636020,-73.972994,2024,06,1,0,1008.377991
40.636020,-73.972994,2024,07,1,0,0.000000
40.636020,-73.972994,2024,08,1,0,7879.699707
40.636020,-73.972994,2024,09,1,0,1088.262085
40.636020,-73.972994,2024,10,1,0,0.000000
40.636020,-73.972994,2024,11,1,0,6389.810547
40.636020,-73.972994,2024,12,1,0,1048.542114
40.636020,-73.972994,2025,01,1,0,0.000000
40.636020,-73.972994,2024,02,1,0,4241.225098
40.636020,-73.972994,2024,03,1,0,4265.930176
40.636020,-73.972994,2024,04,1,0,1827.422485
40.636020,-73.972994,2025,05,1,0,5929.558594
40.664480,-73.841095,2024,06,1,0,2623.993652
40.664480,-73.841095,2024,07,1,0,1944.072876
40.664480,-73.841095,2024,08,1,0,8770.798828
40.664480,-73.841095,2024,09,1,0,2214.692627
40.664480,-73.841095,2024,10,1,0,1144.850464
40.664480,-73.841095,2024,11,1,0,7192.473145
40.664480,-73.841095,2024,12,1,0,2055.649902
40.664480,-73.841095,2025,01,1,0,915.572083
40.664480,-73.841095,2024,02,1,0,5296.331543
40.664480,-73.841095,2024,03,1,0,4983.913086
40.664480,-73.841095,2024,04,1,0,2982.757080
40.664480,-73.841095,2025,05,1,0,6873.959473
40.745745,-73.835426,2024,06,1,0,847.103088
40.745745,-73.835426,2024,07,1,0,0.000000
40.745745,-73.835426,2024,08,1,0,7807.994141
40.745745,-73.835426,2024,09,1,0,896.430603
40.745745,-73.835426,2024,10,1,0,0.000000
40.745745,-73.835426,2024,11,1,0,6274.542969
40.745745,-73.835426,2024,12,1,0,753.752197
40.745745,-73.835426,2025,01,1,0,0.000000
40.745745,-73.835426,2024,02,1,0,3907.229004
40.745745,-73.835426,2024,03,1,0,3936.986328
40.745745,-73.835426,2024,04,1,0,1429.051514
40.745745,-73.835426,2025,05,1,0,5515.985352
40.633592,-74.014950,2024,06,1,0,719.553589
40.633592,-74.014950,2024,07,1,0,0.000000
40.633592,-74.014950,2024,08,1,0,7752.505371
40.633592,-74.014950,2024,09,1,0,845.514771
40.633592,-74.014950,2024,10,1,0,0.000000
40.633592,-74.014950,2024,11,1,0,6241.439941
40.633592,-74.014950,2024,12,1,0,589.694275
40.633592,-74.014950,2025,01,1,0,0.000000
40.633592,-74.014950,2024,02,1,0,3712.108398
40.633592,-74.014950,2024,03,1,0,3722.567383
40.633592,-74.014950,2024,04,1,0,1165.293335
40.633592,-74.014950,2025,05,1,0,5261.572754
40.636158,-74.010658,2024,06,1,0,1331.882080
40.636158,-74.010658,2024,07,1,0,191.462952
40.636158,-74.010658,2024,08,1,0,8086.997559
40.636158,-74.010658,2024,09,1,0,1328.315552
40.636158,-74.010658,2024,10,1,0,75.904465
40.636158,-74.010658,2024,11,1,0,6579.865723
40.636158,-74.010658,2024,12,1,0,995.971985
40.636158,-74.010658,2025,01,1,0,0.000000
40.636158,-74.010658,2024,02,1,0,4146.231445
40.636158,-74.010658,2024,03,1,0,4055.872803
40.636158,-74.010658,2024,04,1,0,1676.519287
40.636158,-74.010658,2025,05,1,0,5694.316895
40.604920,-73.898607,2024,06,1,0,2291.471680
40.604920,-73.898607,2024,07,1,0,1513.859619
40.604920,-73.898607,2024,08,1,0,8600.657227
40.604920,-73.898607,2024,09,1,0,2003.424927
40.604920,-73.898607,2024,10,1,0,864.210144
40.604920,-73.898607,2024,11,1,0,7048.926270
40.604920,-73.898607,2024,12,1,0,1831.091797
40.604920,-73.898607,2025,01,1,0,590.698853
40.604920,-73.898607,2024,02,1,0,5061.836426
40.604920,-73.898607,2024,03,1,0,4835.969238
40.604920,-73.898607,2024,04,1,0,2758.914795
40.604920,-73.898607,2025,05,1,0,6674.133789
40.762178,-73.831494,2024,06,1,0,1498.971191
40.762178,-73.831494,2024,07,1,0,421.319336
40.762178,-73.831494,2024,08,1,0,8166.522949
40.762178,-73.831494,2024,09,1,0,1459.049561
40.762178,-73.831494,2024,10,1,0,223.551544
40.762178,-73.831494,2024,11,1,0,6664.485352
40.762178,-73.831494,2024,12,1,0,1258.145752
40.762178,-73.831494,2025,01,1,0,0.000000
40.762178,-73.831494,2024,02,1,0,4453.247070
40.762178,-73.831494,2024,03,1,0,4348.174805
40.762178,-73.831494,2024,04,1,0,2031.291504
40.762178,-73.831494,2025,05,1,0,6055.884277
40.763553,-73.775984,2024,06,1,0,2311.627441
40.763553,-73.775984,2024,07,1,0,1538.782227
40.763553,-73.775984,2024,08,1,0,8594.864258
40.763553,-73.775984,2024,09,1,0,2024.358276
40.763553,-73.775984,2024,10,1,0,882.170532
40.763553,-73.775984,2024,11,1,0,7057.932617
40.763553,-73.775984,2024,12,1,0,1970.038940
40.763553,-73.775984,2025,01,1,0,754.710205
40.763553,-73.775984,2024,02,1,0,5234.282227
40.763553,-73.775984,2024,03,1,0,5038.649414
40.763553,-73.775984,2024,04,1,0,2978.120117
40.763553,-73.775984,2025,05,1,0,6919.751465
40.643205,-73.973789,2024,06,1,0,1006.743164
40.643205,-73.973789,2024,07,1,0,0.000000
40.643205,-73.973789,2024,08,1,0,7878.053223
40.643205,-73.973789,2024,09,1,0,1086.824951
40.643205,-73.973789,2024,10,1,0,0.000000
40.643205,-73.973789,2024,11,1,0,6388.419922
40.643205,-73.973789,2024,12,1,0,1047.849731
40.643205,-73.973789,2025,01,1,0,0.000000
40.643205,-73.973789,2024,02,1,0,4240.472656
40.643205,-73.973789,2024,03,1,0,4265.368164
40.643205,-73.973789,2024,04,1,0,1826.906616
